OBS_DATETIME,STATIONCODE,TEMP,HUMI,WSPD_10,WDIR_10
2023-07-20 16:55:00,CG,29.9,82.0,1.4,128
2023-07-20 16:56:00,CG,30.0,81.0,1.3,131
2023-07-20 16:57:00,CG,30.0,80.0,1.2,130
2023-07-20 16:58:00,CG,30.0,79.0,1.3,132
2023-07-20 16:59:00,CG,30.0,79.0,1.3,131
2023-07-20 17:00:00,CG,30.2,79.0,1.2,132
2023-07-20 17:01:00,CG,30.2,79.0,1.2,134
2023-07-20 17:02:00,CG,30.3,78.0,1.2,130
2023-07-20 17:03:00,CG,30.3,79.0,1.1,124
2023-07-20 17:04:00,CG,30.3,79.0,1.1,124
2023-07-20 17:05:00,CG,30.4,78.0,1.1,127
2023-07-20 17:06:00,CG,30.3,78.0,1.0,125
2023-07-20 17:07:00,CG,,,1.0,119
2023-07-20 17:08:00,CG,30.3,78.0,0.9,109
2023-07-20 17:09:00,CG,30.3,78.0,0.9,111
2023-07-20 17:10:00,CG,,,1.0,109
2023-07-20 17:11:00,CG,30.3,78.0,0.9,110
2023-07-20 17:12:00,CG,30.3,78.0,1.0,116
2023-07-20 17:13:00,CG,30.2,78.0,1.0,116
2023-07-20 17:14:00,CG,30.1,78.0,1.0,112
2023-07-20 17:15:00,CG,30.0,80.0,1.1,107
2023-07-20 17:16:00,CG,30.0,80.0,1.1,102
2023-07-20 17:17:00,CG,30.1,81.0,1.1,105
2023-07-20 17:18:00,CG,30.1,80.0,1.2,105
2023-07-20 17:19:00,CG,30.0,79.0,1.1,107
2023-07-20 17:20:00,CG,30.0,79.0,1.2,111
2023-07-20 17:21:00,CG,30.0,79.0,1.2,116
2023-07-20 17:22:00,CG,30.0,78.0,1.1,112
2023-07-20 17:23:00,CG,30.0,78.0,1.2,115
2023-07-20 17:24:00,CG,29.9,79.0,1.1,109
2023-07-20 17:25:00,CG,29.9,80.0,1.1,110
2023-07-20 17:26:00,CG,29.9,80.0,1.1,119
2023-07-20 17:27:00,CG,29.9,80.0,1.1,122
2023-07-20 17:28:00,CG,29.8,80.0,1.1,116
2023-07-20 17:29:00,CG,29.9,81.0,1.1,113
2023-07-20 17:30:00,CG,29.9,80.0,1.1,118
2023-07-20 17:31:00,CG,29.9,79.0,1.2,120
2023-07-20 17:32:00,CG,29.8,79.0,1.2,122
2023-07-20 17:33:00,CG,29.8,79.0,1.3,121
2023-07-20 17:34:00,CG,29.8,79.0,1.3,124
2023-07-20 17:35:00,CG,29.8,80.0,1.3,129
2023-07-20 17:36:00,CG,29.7,79.0,1.2,141
2023-07-20 17:37:00,CG,29.7,80.0,1.2,138
2023-07-20 17:38:00,CG,29.7,80.0,1.3,145
2023-07-20 17:39:00,CG,29.6,79.0,1.3,153
2023-07-20 17:40:00,CG,29.6,80.0,1.3,148
2023-07-20 17:41:00,CG,29.6,80.0,1.2,145
2023-07-20 17:42:00,CG,29.6,80.0,1.2,146
2023-07-20 17:43:00,CG,29.6,80.0,1.1,144
2023-07-20 17:44:00,CG,29.6,80.0,1.1,147
2023-07-20 17:45:00,CG,29.6,80.0,1.1,140
2023-07-20 17:46:00,CG,29.6,79.0,1.2,138
2023-07-20 17:47:00,CG,29.6,78.0,1.2,148
2023-07-20 17:48:00,CG,29.6,79.0,1.1,144
2023-07-20 17:49:00,CG,29.6,79.0,1.1,134
